sequence,scene,amount
2019-03-14,sh600753,17.2
2019-03-14,sh600754,24.05
2019-03-14,sh600755,8.88
2019-03-14,sh600756,26.6
2019-03-14,sh600757,7.36
2019-03-14,sh600758,4.06
2019-03-14,sh600759,3.29
2019-03-14,sh600760,32.93
2019-03-14,sh600761,10.54
2019-03-12,sh600762,0.0
2019-03-14,sh600763,64.23
2019-03-14,sh600764,30.75
2019-03-14,sh600765,10.15
2019-03-14,sh600766,9.8
2019-03-14,sh600767,5.36
2019-03-14,sh600768,11.21
2019-03-14,sh600769,4.99
2019-03-14,sh600770,7.3
2019-03-14,sh600771,29.56
2019-03-12,sh600772,0.0
2019-03-14,sh600773,7.95
2019-03-14,sh600774,14.32
2019-03-14,sh600775,10.96
2019-03-14,sh600776,30.18
2019-03-14,sh600777,2.62
2019-03-14,sh600778,5.12
2019-03-14,sh600779,40.7
2019-03-14,sh600780,3.91
2019-03-14,sh600781,14.11
2019-03-14,sh600782,5.99
2019-03-14,sh600783,24.5
2019-03-14,sh600784,6.07
2019-03-14,sh600785,17.81
2019-03-12,sh600786,0.0
2019-03-14,sh600787,6.28
2019-03-12,sh600788,0.0
2019-03-14,sh600789,9.76
2019-03-14,sh600790,4.11
2019-03-14,sh600791,4.84
2019-03-14,sh600792,3.7
2019-03-14,sh600793,16.7
2019-03-14,sh600794,3.25
2019-03-14,sh600795,2.77
2019-03-14,sh600796,6.03
2019-03-14,sh600797,10.47
2019-03-14,sh600798,3.9
2019-03-12,sh600799,0.0
2019-03-14,sh600800,6.9
2019-03-14,sh600801,19.5
2019-03-14,sh600802,8.54
2019-03-14,sh600803,11.7
2019-03-14,sh600804,11.35
2019-03-14,sh600805,5.85
2019-03-14,sh600806,0.0
2019-03-14,sh600807,4.74
2019-03-14,sh600808,3.91
2019-03-14,sh600809,52.7
2019-03-14,sh600810,12.78
2019-03-14,sh600811,4.16
2019-03-14,sh600812,4.86
2019-03-12,sh600813,0.0
2019-03-14,sh600814,5.88
2019-03-14,sh600815,3.53
2019-03-14,sh600816,7.37
2019-03-14,sh600817,7.98
2019-03-14,sh600818,16.69
2019-03-14,sh600819,5.27
2019-03-14,sh600820,7.28
2019-03-14,sh600821,4.99
2019-03-14,sh600822,11.01
2019-03-14,sh600823,4.54
2019-03-14,sh600824,4.17
2019-03-14,sh600825,7.38
2019-03-14,sh600826,11.75
2019-03-14,sh600827,10.03
2019-03-14,sh600828,5.49
2019-03-14,sh600829,7.14
2019-03-14,sh600830,6.48
2019-03-14,sh600831,9.08
2019-03-12,sh600832,0.0
2019-03-14,sh600833,10.69
2019-03-14,sh600834,7.81
2019-03-14,sh600835,18.16
2019-03-14,sh600836,5.71
2019-03-14,sh600837,13.52
2019-03-14,sh600838,7.5
2019-03-14,sh600839,3.7
2019-03-12,sh600840,0.0
2019-03-14,sh600841,8.8
2019-03-12,sh600842,0.0
2019-03-14,sh600843,8.8
2019-03-14,sh600844,3.97
2019-03-14,sh600845,32.95
2019-03-14,sh600846,9.47
2019-03-14,sh600847,13.0
2019-03-14,sh600848,30.5
2019-03-12,sh600849,0.0
2019-03-14,sh600850,21.25
2019-03-14,sh600851,8.26
2019-03-12,sh600852,0.0
2019-03-14,sh600853,4.31
2019-03-14,sh600854,4.44
2019-03-14,sh600855,14.16
2019-03-14,sh600856,5.0
2019-03-14,sh600857,9.43
2019-03-14,sh600858,5.64
2019-03-14,sh600859,16.02
2019-03-14,sh600860,5.69
2019-03-14,sh600861,7.66
2019-03-14,sh600862,8.9
2019-03-14,sh600863,2.91
2019-03-14,sh600864,7.5
2019-03-14,sh600865,7.12
2019-03-14,sh600866,4.71
2019-03-14,sh600867,15.09
2019-03-14,sh600868,4.15
2019-03-14,sh600869,5.73
2019-03-14,sh600870,3.48
2019-03-14,sh600871,2.24
2019-03-14,sh600872,30.3
2019-03-14,sh600873,5.36
2019-03-14,sh600874,9.7
2019-03-14,sh600875,10.19
2019-03-14,sh600876,13.12
2019-03-14,sh600877,5.1
2019-03-12,sh600878,0.0
2019-03-14,sh600879,7.1
2019-03-14,sh600880,4.4
2019-03-14,sh600881,3.96
2019-03-14,sh600882,9.03
2019-03-14,sh600883,7.52
2019-03-14,sh600884,16.1
2019-03-14,sh600885,28.42
2019-03-14,sh600886,8.22
2019-03-14,sh600887,26.13
2019-03-14,sh600888,5.05
2019-03-14,sh600889,5.72
2019-03-14,sh600890,7.89
2019-03-14,sh600891,5.59
2019-03-14,sh600892,6.89
2019-03-14,sh600893,26.64
2019-03-14,sh600894,7.28
2019-03-14,sh600895,25.56
2019-03-14,sh600896,5.18
2019-03-14,sh600897,23.37
2019-03-14,sh600898,9.72
2019-03-12,sh600899,0.0
2019-03-14,sh600900,16.04
2019-03-14,sh600901,7.43
2019-03-14,sh600903,21.9
2019-03-14,sh600908,6.54
2019-03-14,sh600909,7.03
2019-03-14,sh600917,7.48
2019-03-14,sh600919,7.15
2019-03-14,sh600926,8.84
2019-03-14,sh600933,9.59
2019-03-14,sh600936,4.83
2019-03-14,sh600939,5.52
2019-03-14,sh600958,11.89
2019-03-14,sh600959,5.5
2019-03-14,sh600960,4.26
2019-03-14,sh600961,9.3
2019-03-14,sh600962,9.64
2019-03-14,sh600963,4.8
2019-03-14,sh600965,11.29
2019-03-14,sh600966,3.64
2019-03-14,sh600967,11.91
2019-03-14,sh600969,7.03
2019-03-14,sh600970,6.71
2019-03-14,sh600971,7.01
2019-03-14,sh600973,4.83
2019-03-14,sh600975,9.55
2019-03-14,sh600976,17.1
2019-03-14,sh600977,16.77
2019-03-14,sh600978,4.97
2019-03-14,sh600979,4.98
2019-03-14,sh600980,12.34
2019-03-14,sh600981,5.14
2019-03-14,sh600982,3.81
2019-03-14,sh600983,6.62
2019-03-14,sh600984,6.29
2019-03-14,sh600985,11.66
2019-03-14,sh600986,6.11
2019-03-14,sh600987,9.03
2019-03-14,sh600988,4.41
2019-03-14,sh600990,45.13
2019-03-12,sh600991,0.0
2019-03-14,sh600992,8.6
2019-03-14,sh600993,15.07
2019-03-14,sh600995,8.0
2019-03-14,sh600996,10.57
2019-03-14,sh600997,6.47
2019-03-14,sh600998,16.0
2019-03-14,sh600999,17.46
2019-03-14,sh601000,2.97
2019-03-14,sh601001,4.77
2019-03-14,sh601002,7.04
2019-03-14,sh601003,7.7
2019-03-14,sh601005,2.25
2019-03-14,sh601006,8.45
2019-03-14,sh601007,9.74
2019-03-14,sh601008,3.89
2019-03-14,sh601009,7.7
2019-03-14,sh601010,4.41
2019-03-14,sh601011,6.66
2019-03-14,sh601012,27.5
2019-03-14,sh601015,5.97
2019-03-14,sh601016,3.2
2019-03-14,sh601018,4.08
2019-03-14,sh601019,8.92
2019-03-14,sh601020,10.6
2019-03-14,sh601021,34.85
2019-03-14,sh601028,5.67
2019-03-14,sh601038,5.36
2019-03-14,sh601058,2.84
2019-03-14,sh601069,14.88
2019-03-14,sh601086,6.4
2019-03-14,sh601088,20.05
2019-03-14,sh601098,13.37
2019-03-14,sh601099,3.99
2019-03-14,sh601100,30.8
2019-03-14,sh601101,6.65
2019-03-14,sh601106,3.86
2019-03-14,sh601107,4.02
2019-03-14,sh601108,13.08
2019-03-14,sh601111,9.26
2019-03-14,sh601113,9.7
2019-03-14,sh601116,13.15
2019-03-14,sh601117,6.12
2019-03-14,sh601118,5.47
2019-03-14,sh601126,6.69
2019-03-14,sh601127,17.63
2019-03-14,sh601128,7.9
2019-03-14,sh601137,9.53
2019-03-14,sh601139,6.02
2019-03-14,sh601155,39.37
2019-03-14,sh601158,6.18
2019-03-14,sh601163,13.21
2019-03-14,sh601166,18.05
2019-03-14,sh601168,6.49
2019-03-14,sh601169,6.3
2019-03-14,sh601177,13.21
2019-03-14,sh601179,4.45
2019-03-14,sh601186,11.07
2019-03-14,sh601188,3.52
2019-03-14,sh601198,13.32
2019-03-14,sh601199,4.3
2019-03-14,sh601200,15.7
2019-03-14,sh601208,5.22
2019-03-14,sh601211,19.87
2019-03-14,sh601212,4.79
2019-03-14,sh601216,4.12
2019-03-14,sh601218,3.16
2019-03-14,sh601222,6.13
2019-03-14,sh601225,8.65
2019-03-14,sh601226,4.61
2019-03-14,sh601228,4.86
2019-03-14,sh601229,12.08
2019-03-14,sh601231,13.65
2019-03-14,sh601233,12.42
2019-03-14,sh601238,11.75
2019-03-14,sh601258,1.88
2019-03-12,sh601268,0.0
2019-03-14,sh601288,3.7
2019-03-12,sh601299,0.0
2019-03-14,sh601311,14.86
2019-03-14,sh601313,0.0
2019-03-14,sh601318,71.77
2019-03-14,sh601326,3.91
2019-03-14,sh601328,6.35
2019-03-14,sh601333,3.76
2019-03-14,sh601336,49.53
2019-03-14,sh601339,5.6
2019-03-14,sh601360,26.85
2019-03-14,sh601366,7.2
2019-03-14,sh601368,6.58
2019-03-14,sh601369,6.61
2019-03-14,sh601375,6.02
2019-03-14,sh601377,7.02
2019-03-14,sh601388,2.69
2019-03-14,sh601390,7.36
2019-03-14,sh601398,5.57
2019-03-14,sh601500,7.53
2019-03-14,sh601515,11.5
2019-03-14,sh601518,3.12
2019-03-14,sh601519,10.8
2019-03-14,sh601555,9.5
2019-03-14,sh601558,1.51
2019-03-14,sh601566,13.51
2019-03-14,sh601567,7.18
2019-03-14,sh601579,9.99
2019-03-14,sh601588,3.42
2019-03-14,sh601595,15.06
2019-03-14,sh601599,3.85
2019-03-14,sh601600,4.28
2019-03-14,sh601601,32.6
2019-03-14,sh601607,19.41
2019-03-14,sh601608,5.2
2019-03-14,sh601611,8.87
2019-03-14,sh601616,4.73
2019-03-14,sh601618,3.64
2019-03-14,sh601619,5.8
2019-03-14,sh601628,28.75
2019-03-14,sh601633,7.49
2019-03-14,sh601636,4.39
2019-03-14,sh601666,4.25
2019-03-14,sh601668,6.07
2019-03-14,sh601669,5.71
2019-03-14,sh601677,10.65
2019-03-14,sh601678,5.24
2019-03-14,sh601688,21.9
2019-03-14,sh601689,22.05
2019-03-14,sh601699,7.89
2019-03-14,sh601700,8.88
2019-03-14,sh601717,6.12
2019-03-14,sh601718,4.59
2019-03-14,sh601727,5.99
2019-03-14,sh601766,9.3
2019-03-14,sh601777,4.84
2019-03-14,sh601788,13.92
2019-03-14,sh601789,4.68
2019-03-14,sh601798,5.8
2019-03-14,sh601799,55.38
2019-03-14,sh601800,12.2
2019-03-14,sh601801,7.95
2019-03-14,sh601808,9.68
2019-03-14,sh601811,15.53
2019-03-14,sh601818,4.17
2019-03-14,sh601828,13.41
2019-03-14,sh601838,8.89
2019-03-14,sh601857,7.72
2019-03-14,sh601858,11.78
2019-03-14,sh601866,3.03
2019-03-14,sh601872,4.6
2019-03-14,sh601877,26.78
2019-03-14,sh601878,11.38
2019-03-14,sh601880,2.29
2019-03-14,sh601881,10.9
2019-03-14,sh601882,9.1
2019-03-14,sh601886,8.98
2019-03-14,sh601888,60.0
2019-03-14,sh601890,6.6
2019-03-14,sh601898,5.18
2019-03-14,sh601899,3.56
2019-03-14,sh601900,9.55
2019-03-14,sh601901,7.41
2019-03-14,sh601908,4.36
2019-03-14,sh601918,3.59
2019-03-14,sh601919,4.95
2019-03-14,sh601928,9.32
2019-03-14,sh601929,2.95
2019-03-14,sh601933,8.3
2019-03-14,sh601939,6.93
2019-03-14,sh601949,5.72
2019-03-14,sh601952,7.44
2019-03-14,sh601958,6.87
2019-03-14,sh601965,8.21
2019-03-14,sh601966,16.75
2019-03-14,sh601968,5.1
2019-03-14,sh601969,5.5
2019-03-14,sh601985,6.05
2019-03-14,sh601988,3.8
2019-03-14,sh601989,5.2
2019-03-14,sh601991,3.48
2019-03-14,sh601992,4.1
2019-03-14,sh601996,3.55
2019-03-14,sh601997,13.03
2019-03-14,sh601998,6.34
2019-03-14,sh601999,6.72
2019-03-14,sh603000,29.1
2019-03-14,sh603001,11.78
2019-03-14,sh603002,4.37
2019-03-14,sh603003,8.6
2019-03-14,sh603005,22.26
2019-03-14,sh603006,14.69
2019-03-14,sh603007,9.7
2019-03-14,sh603008,11.01
2019-03-14,sh603009,7.35
2019-03-14,sh603010,16.28
2019-03-14,sh603011,6.48
2019-03-14,sh603012,8.83
2019-03-14,sh603015,7.71
2019-03-14,sh603016,20.75
2019-03-14,sh603017,16.2
2019-03-14,sh603018,21.15
2019-03-14,sh603019,59.01
2019-03-14,sh603020,9.23
2019-03-14,sh603021,6.97
2019-03-14,sh603022,10.83
2019-03-14,sh603023,5.95
2019-03-14,sh603025,11.75
2019-03-14,sh603026,25.14
2019-03-14,sh603027,19.74
2019-03-14,sh603028,8.59
2019-03-14,sh603029,15.67
2019-03-14,sh603030,7.36
2019-03-14,sh603031,13.23
2019-03-14,sh603032,36.41
2019-03-14,sh603033,24.9
2019-03-14,sh603035,13.47
2019-03-14,sh603036,13.25
2019-03-14,sh603037,21.95
2019-03-14,sh603038,19.69
2019-03-14,sh603039,92.77
2019-03-14,sh603040,30.24
2019-03-14,sh603041,15.94
2019-03-14,sh603042,15.47
2019-03-14,sh603043,31.7
2019-03-14,sh603050,15.12
2019-03-14,sh603055,12.2
2019-03-14,sh603056,19.08
2019-03-14,sh603058,11.38
2019-03-14,sh603059,36.44
2019-03-14,sh603060,23.86
2019-03-14,sh603063,10.66
2019-03-14,sh603066,7.81
2019-03-14,sh603067,9.27
2019-03-14,sh603069,7.73
2019-03-14,sh603076,27.05
2019-03-14,sh603077,2.08
2019-03-14,sh603078,32.05
2019-03-14,sh603079,20.47
2019-03-14,sh603080,21.1
2019-03-14,sh603081,17.6
2019-03-14,sh603083,35.5
2019-03-14,sh603085,9.75
2019-03-14,sh603086,28.81
2019-03-14,sh603088,14.12
2019-03-14,sh603089,20.51
2019-03-14,sh603090,16.08
2019-03-14,sh603096,57.98
2019-03-14,sh603098,14.09
2019-03-14,sh603099,10.19
2019-03-14,sh603100,10.95
2019-03-14,sh603101,13.4
2019-03-14,sh603103,24.4
2019-03-14,sh603106,13.61
2019-03-14,sh603108,10.85
2019-03-14,sh603110,13.02
2019-03-14,sh603111,5.5
2019-03-14,sh603113,13.48
2019-03-14,sh603116,8.55
2019-03-14,sh603117,4.45
2019-03-14,sh603118,8.63
2019-03-14,sh603123,6.77
2019-03-14,sh603126,6.6
2019-03-14,sh603127,70.21
2019-03-14,sh603128,7.77
2019-03-14,sh603129,20.6
2019-03-14,sh603131,26.2
2019-03-14,sh603133,19.8
2019-03-14,sh603136,35.03
2019-03-14,sh603138,22.68
2019-03-14,sh603139,17.78
2019-03-14,sh603156,48.12
2019-03-14,sh603157,9.39
2019-03-14,sh603158,17.98
2019-03-14,sh603159,20.91
2019-03-14,sh603160,97.0
2019-03-14,sh603161,15.8
2019-03-14,sh603165,20.48
2019-03-14,sh603166,6.52
2019-03-14,sh603167,9.51
2019-03-14,sh603168,7.75
2019-03-14,sh603169,5.73
2019-03-14,sh603177,13.89
2019-03-14,sh603178,11.76
2019-03-14,sh603179,18.12
2019-03-14,sh603180,73.25
2019-03-14,sh603181,21.02
2019-03-14,sh603183,18.13
2019-03-14,sh603186,28.96
2019-03-14,sh603188,9.28
2019-03-14,sh603189,14.0
2019-03-14,sh603196,9.99
2019-03-14,sh603197,28.98
2019-03-14,sh603198,16.02
2019-03-14,sh603199,21.06
2019-03-14,sh603200,39.79
2019-03-14,sh603203,25.28
2019-03-14,sh603208,32.0
2019-03-14,sh603218,22.03
2019-03-14,sh603222,22.6
2019-03-14,sh603223,11.68
2019-03-14,sh603225,20.45
2019-03-14,sh603226,18.8
2019-03-14,sh603227,4.75
2019-03-14,sh603228,64.99
2019-03-14,sh603229,13.68
2019-03-14,sh603232,37.71
2019-03-14,sh603233,44.48
2019-03-14,sh603238,19.29
2019-03-14,sh603239,12.94
2019-03-14,sh603258,19.19
2019-03-14,sh603260,54.73
2019-03-14,sh603266,20.45
2019-03-14,sh603268,20.25
2019-03-14,sh603269,16.08
2019-03-14,sh603277,10.46
2019-03-14,sh603278,17.11
2019-03-14,sh603283,20.36
2019-03-14,sh603286,16.51
2019-03-14,sh603288,73.0
2019-03-14,sh603289,11.8
2019-03-14,sh603298,14.46
2019-03-14,sh603299,6.53
2019-03-14,sh603300,7.15
2019-03-14,sh603303,13.92
2019-03-14,sh603305,38.36
2019-03-14,sh603306,15.75
2019-03-14,sh603308,10.51
2019-03-14,sh603309,12.08
2019-03-14,sh603311,11.76
2019-03-14,sh603313,25.0
2019-03-14,sh603315,15.07
2019-03-14,sh603316,9.02
2019-03-14,sh603318,15.13
2019-03-14,sh603319,23.77
2019-03-14,sh603320,20.86
2019-03-14,sh603321,8.55
2019-03-14,sh603322,35.83
2019-03-14,sh603323,7.81
2019-03-14,sh603326,11.2
2019-03-14,sh603328,11.3
2019-03-14,sh603329,18.78
2019-03-14,sh603330,23.17
2019-03-14,sh603331,17.3
2019-03-14,sh603333,7.29
2019-03-14,sh603335,6.67
2019-03-14,sh603336,17.86
2019-03-14,sh603337,44.05
2019-03-14,sh603338,77.7
2019-03-14,sh603339,18.02
2019-03-14,sh603345,34.5
2019-03-14,sh603355,25.29
2019-03-14,sh603356,15.0
2019-03-14,sh603357,20.6
2019-03-14,sh603358,14.41
2019-03-14,sh603359,18.8
2019-03-14,sh603360,19.07
2019-03-14,sh603363,14.47
2019-03-14,sh603365,16.31
2019-03-14,sh603366,5.21
2019-03-14,sh603367,17.81
2019-03-14,sh603368,30.61
2019-03-14,sh603369,23.1
2019-03-14,sh603377,15.19
2019-03-14,sh603378,15.51
2019-03-14,sh603380,17.4
2019-03-14,sh603383,75.1
2019-03-14,sh603385,10.21
2019-03-14,sh603386,18.19
2019-03-14,sh603387,31.15
2019-03-14,sh603388,12.17
2019-03-14,sh603389,11.79
2019-03-14,sh603393,34.94
2019-03-14,sh603396,47.47
2019-03-14,sh603398,12.61
2019-03-14,sh603399,13.33
2019-03-14,sh603416,28.8
2019-03-14,sh603421,27.48
2019-03-14,sh603429,31.3
2019-03-14,sh603444,190.64
2019-03-14,sh603456,9.7
2019-03-14,sh603458,33.95
2019-03-14,sh603466,18.98
2019-03-14,sh603477,8.61
2019-03-14,sh603488,9.03
2019-03-14,sh603496,35.49
2019-03-14,sh603499,31.22
2019-03-14,sh603500,12.9
2019-03-14,sh603501,48.0
2019-03-14,sh603505,16.6
2019-03-14,sh603506,25.06
2019-03-14,sh603507,25.71
2019-03-14,sh603508,46.66
2019-03-14,sh603515,32.5
2019-03-14,sh603516,26.23
2019-03-14,sh603517,44.35
2019-03-14,sh603518,16.05
2019-03-14,sh603519,10.72
2019-03-14,sh603520,30.64
2019-03-14,sh603527,13.5
2019-03-14,sh603528,7.78
2019-03-14,sh603533,22.34
2019-03-14,sh603535,20.6
2019-03-14,sh603536,9.63
2019-03-14,sh603538,20.6
2019-03-14,sh603555,7.05
2019-03-14,sh603556,16.75
2019-03-14,sh603557,10.72
2019-03-14,sh603558,11.0
2019-03-14,sh603559,25.89
2019-03-14,sh603566,15.01
2019-03-14,sh603567,13.28
2019-03-14,sh603568,25.22
2019-03-14,sh603569,12.82
2019-03-14,sh603577,11.67
2019-03-14,sh603578,22.3
2019-03-14,sh603579,33.93
2019-03-14,sh603580,18.45
2019-03-14,sh603585,24.6
2019-03-14,sh603586,15.1
2019-03-14,sh603588,10.18
2019-03-14,sh603589,44.96
2019-03-14,sh603595,41.07
2019-03-14,sh603598,11.13
2019-03-14,sh603599,15.53
2019-03-14,sh603600,9.9
2019-03-14,sh603601,9.03
2019-03-14,sh603602,30.17
2019-03-14,sh603603,20.95
2019-03-14,sh603605,55.95
2019-03-14,sh603606,10.93
2019-03-14,sh603607,20.57
2019-03-14,sh603608,10.4
2019-03-14,sh603609,11.4
2019-03-14,sh603611,16.36
2019-03-14,sh603612,15.43
2019-03-14,sh603615,9.97
2019-03-14,sh603616,12.0
2019-03-14,sh603617,18.87
2019-03-14,sh603618,6.59
2019-03-14,sh603619,18.48
2019-03-14,sh603626,10.5
2019-03-14,sh603628,9.1
2019-03-14,sh603630,17.38
2019-03-14,sh603633,13.49
2019-03-14,sh603636,13.57
2019-03-14,sh603637,16.08
2019-03-14,sh603638,28.88
2019-03-14,sh603639,30.22
2019-03-14,sh603648,14.0
2019-03-14,sh603655,15.95
2019-03-14,sh603656,19.13
2019-03-14,sh603658,60.6
2019-03-14,sh603659,55.0
2019-03-14,sh603660,26.56
2019-03-14,sh603661,34.57
2019-03-14,sh603663,19.4
2019-03-14,sh603665,25.53
2019-03-14,sh603667,9.87
2019-03-14,sh603668,8.76
2019-03-14,sh603669,12.03
2019-03-14,sh603676,12.6
2019-03-14,sh603677,15.57
2019-03-14,sh603678,21.55
2019-03-14,sh603679,39.09
2019-03-14,sh603680,17.03
2019-03-14,sh603683,16.35
2019-03-14,sh603685,16.65
2019-03-14,sh603686,13.37
2019-03-14,sh603688,15.05
2019-03-14,sh603689,12.05
2019-03-14,sh603690,22.93
2019-03-14,sh603696,13.6
2019-03-14,sh603698,16.95
2019-03-14,sh603699,12.18
2019-03-14,sh603701,13.5
2019-03-14,sh603703,12.3
2019-03-14,sh603707,34.01
2019-03-14,sh603708,22.65
2019-03-14,sh603709,29.3
2019-03-14,sh603711,25.09
2019-03-14,sh603712,18.6
2019-03-14,sh603716,18.42
2019-03-14,sh603717,10.66
2019-03-14,sh603718,13.55
2019-03-14,sh603721,23.3
2019-03-14,sh603722,25.13
2019-03-14,sh603725,12.42
2019-03-14,sh603726,19.95
2019-03-14,sh603727,14.39
2019-03-14,sh603728,13.8
2019-03-14,sh603729,28.01
2019-03-14,sh603730,28.37
2019-03-14,sh603737,55.15
2019-03-14,sh603738,15.94
2019-03-14,sh603757,23.9
2019-03-14,sh603758,7.02
2019-03-14,sh603766,4.95
2019-03-14,sh603767,7.81
2019-03-14,sh603768,13.2
2019-03-14,sh603776,26.35
2019-03-14,sh603777,11.8
2019-03-14,sh603778,5.03
2019-03-14,sh603779,14.61
2019-03-14,sh603787,11.5
2019-03-14,sh603788,17.4
2019-03-14,sh603789,13.88
2019-03-14,sh603797,13.45
2019-03-14,sh603798,11.56
2019-03-14,sh603799,38.67
2019-03-14,sh603800,13.82
2019-03-14,sh603801,29.04
2019-03-14,sh603803,13.0
2019-03-14,sh603806,34.0
2019-03-14,sh603808,17.44
2019-03-14,sh603809,16.87
2019-03-14,sh603811,18.88
2019-03-14,sh603813,20.21
2019-03-14,sh603816,54.3
2019-03-14,sh603817,7.6
2019-03-14,sh603818,8.1
2019-03-14,sh603819,18.1
2019-03-14,sh603822,30.55
2019-03-14,sh603823,18.4
2019-03-14,sh603825,18.28
2019-03-14,sh603826,17.32
2019-03-14,sh603828,10.5
2019-03-14,sh603829,11.39
2019-03-14,sh603833,102.0
2019-03-14,sh603838,10.02
2019-03-14,sh603839,11.92
2019-03-14,sh603843,8.6
2019-03-14,sh603848,17.4
2019-03-14,sh603855,9.08
2019-03-14,sh603856,13.25
2019-03-14,sh603858,29.7
2019-03-14,sh603859,24.8
2019-03-14,sh603860,27.98
2019-03-14,sh603861,12.53
2019-03-14,sh603866,52.65
2019-03-14,sh603868,42.75
2019-03-14,sh603869,20.23
2019-03-14,sh603871,45.8
2019-03-14,sh603877,19.85
2019-03-14,sh603878,13.61
2019-03-14,sh603879,11.64
2019-03-14,sh603880,13.62
2019-03-14,sh603881,35.0
2019-03-14,sh603882,27.24
2019-03-14,sh603883,61.74
2019-03-14,sh603885,13.25
2019-03-14,sh603886,21.8
2019-03-14,sh603887,18.85
2019-03-14,sh603888,23.38
2019-03-14,sh603889,10.79
2019-03-14,sh603890,14.08
2019-03-14,sh603895,27.57
2019-03-14,sh603896,36.96
2019-03-14,sh603898,18.13
2019-03-14,sh603899,31.54
2019-03-14,sh603900,14.48
2019-03-14,sh603901,8.23
2019-03-14,sh603903,23.33
2019-03-14,sh603906,10.0
2019-03-14,sh603908,25.21
2019-03-14,sh603909,26.65
2019-03-14,sh603912,16.37
2019-03-14,sh603916,13.05
2019-03-14,sh603917,13.0
2019-03-14,sh603918,14.6
2019-03-14,sh603919,13.53
2019-03-14,sh603920,13.77
2019-03-14,sh603922,18.22
2019-03-14,sh603926,16.62
2019-03-14,sh603928,15.12
2019-03-14,sh603929,18.6
2019-03-14,sh603933,21.06
2019-03-14,sh603936,19.15
2019-03-14,sh603937,13.37
2019-03-14,sh603938,20.08
2019-03-14,sh603939,54.5
2019-03-14,sh603955,17.4
2019-03-14,sh603958,9.0
2019-03-14,sh603959,19.0
2019-03-14,sh603960,33.81
2019-03-14,sh603963,14.9
2019-03-14,sh603966,10.86
2019-03-14,sh603968,14.94
2019-03-14,sh603969,5.32
2019-03-14,sh603970,16.89
2019-03-14,sh603976,19.92
2019-03-14,sh603977,8.15
2019-03-14,sh603978,24.59
2019-03-14,sh603979,8.81
2019-03-14,sh603980,13.9
2019-03-14,sh603985,25.59
2019-03-14,sh603986,101.0
2019-03-14,sh603987,7.7
2019-03-14,sh603988,12.79
2019-03-14,sh603989,21.48
2019-03-14,sh603990,48.5
2019-03-14,sh603991,21.22
2019-03-14,sh603993,4.8
2019-03-14,sh603996,10.62
2019-03-14,sh603997,9.15
2019-03-14,sh603998,6.37
2019-03-14,sh603999,6.47
2019-03-14,sh751038,0.0
2019-03-14,sh900901,0.664
2019-03-14,sh900902,0.55
2019-03-14,sh900903,0.537
2019-03-14,sh900904,1.024
2019-03-14,sh900905,3.401
2019-03-14,sh900906,0.164
2019-03-14,sh900907,0.486
2019-03-14,sh900908,0.686
2019-03-14,sh900909,0.94
2019-03-14,sh900910,0.861
2019-03-14,sh900911,1.24
2019-03-14,sh900912,1.344
2019-03-14,sh900913,0.58
2019-03-14,sh900914,1.071
2019-03-14,sh900915,1.018
2019-03-14,sh900916,0.581
2019-03-14,sh900917,0.498
2019-03-14,sh900918,0.543
2019-03-14,sh900919,0.445
2019-03-14,sh900920,0.625
2019-03-14,sh900921,0.345
2019-03-14,sh900922,0.986
2019-03-14,sh900923,1.052
2019-03-14,sh900924,0.75
2019-03-14,sh900925,1.873
2019-03-14,sh900926,2.135
2019-03-14,sh900927,0.72
2019-03-14,sh900928,1.688
2019-03-14,sh900929,1.86
2019-03-14,sh900930,0.0
2019-03-14,sh900932,1.435
2019-03-14,sh900933,2.003
2019-03-14,sh900934,2.132
2019-03-14,sh900935,0.0
2019-03-14,sh900936,0.936
2019-03-14,sh900937,0.288
2019-03-14,sh900938,0.378
2019-03-14,sh900939,0.856
2019-03-14,sh900940,0.506
2019-03-14,sh900941,0.664
2019-03-14,sh900942,1.24
2019-03-14,sh900943,0.78
2019-03-14,sh900945,0.391
2019-03-14,sh900946,0.296
2019-03-14,sh900947,0.395
2019-03-14,sh900948,1.226
2019-03-14,sh900950,0.441
2019-03-14,sh900952,0.402
2019-03-14,sh900953,0.546
2019-03-14,sh900955,0.333
2019-03-14,sh900956,1.27
2019-03-14,sh900957,0.693
2019-03-14,sz000001,12.33
2019-03-14,sz000002,27.5
2019-03-14,sz000004,19.36
2019-03-14,sz000005,3.77
2019-03-14,sz000006,6.21
2019-03-14,sz000007,7.41
2019-03-14,sz000008,4.53
2019-03-14,sz000009,6.51
2019-03-14,sz000010,3.87
2019-03-14,sz000011,10.65
2019-03-14,sz000012,5.6
2019-03-14,sz000014,10.98
2019-03-14,sz000016,4.56
2019-03-14,sz000017,5.38
2019-03-14,sz000018,3.01
2019-03-14,sz000019,8.05
2019-03-14,sz000020,12.46
2019-03-14,sz000021,8.15
2018-12-25,sz000022,0.0
2019-03-14,sz000023,15.9
2019-03-14,sz000025,33.0
2019-03-14,sz000026,8.88
2019-03-14,sz000027,6.28
2019-03-14,sz000028,49.29
2019-03-14,sz000029,0.0
2019-03-14,sz000030,4.92
2019-03-14,sz000031,6.06
2019-03-14,sz000032,9.7
2019-03-14,sz000034,15.36
2019-03-14,sz000035,5.43
2019-03-14,sz000036,6.91
